# Curated CAZy family -> predicate proposals. A pair ships only when CAZy's class definition
# or reviewed Swiss-Prot consensus supports it; see scripts/build_cazy_predicate_map.py.
# family	predicates	comment
GH5	cellulase,glycoside_hydrolase,carbohydrate_active	Major cellulase family
GH6	cellulase,glycoside_hydrolase,carbohydrate_active	Cellobiohydrolase
GH7	cellulase,glycoside_hydrolase,carbohydrate_active	Cellobiohydrolase
GH9	cellulase,glycoside_hydrolase,carbohydrate_active	Endoglucanase
GH44	cellulase,glycoside_hydrolase,carbohydrate_active	Endoglucanase
GH45	cellulase,glycoside_hydrolase,carbohydrate_active	Endoglucanase
GH48	cellulase,glycoside_hydrolase,carbohydrate_active	Cellobiohydrolase
GH12	cellulase,xylanase,glycoside_hydrolase,carbohydrate_active	Xyloglucanase
GH74	cellulase,glycoside_hydrolase,carbohydrate_active	Xyloglucanase
GH1	glycoside_hydrolase,carbohydrate_active	Beta-glucosidase
GH3	glycoside_hydrolase,carbohydrate_active	Beta-glucosidase
GH18	chitinase,glycoside_hydrolase,carbohydrate_active	Major chitinase
GH19	chitinase,glycoside_hydrolase,carbohydrate_active	Plant chitinase
GH20	chitinase,glycoside_hydrolase,carbohydrate_active	Beta-hexosaminidase
GH23	glycoside_hydrolase,carbohydrate_active,lytic_transglycosylase	Lysozyme/LT
GH46	chitinase,glycoside_hydrolase,carbohydrate_active	Chitosanase
GH13	amylase,glycoside_hydrolase,carbohydrate_active	Alpha-amylase superfamily
GH14	amylase,glycoside_hydrolase,carbohydrate_active	Beta-amylase
GH15	amylase,glycoside_hydrolase,carbohydrate_active	Glucoamylase
GH57	amylase,glycoside_hydrolase,carbohydrate_active	Amylopullulanase
GH77	amylase,glycoside_hydrolase,carbohydrate_active	Amylomaltase
GH97	amylase,glycoside_hydrolase,carbohydrate_active	Alpha-glucosidase
GH119	amylase,glycoside_hydrolase,carbohydrate_active	Alpha-amylase
GH10	xylanase,glycoside_hydrolase,carbohydrate_active	Endo-xylanase
GH11	xylanase,glycoside_hydrolase,carbohydrate_active	Endo-xylanase
GH30	xylanase,glycoside_hydrolase,carbohydrate_active	Glucuronoxylanase
GH8	xylanase,glycoside_hydrolase,carbohydrate_active	Reducing-end xylanase
GH43	xylanase,glycoside_hydrolase,carbohydrate_active	Beta-xylosidase
GH67	xylanase,glycoside_hydrolase,carbohydrate_active	Alpha-glucuronidase
GH28	pectinase,glycoside_hydrolase,carbohydrate_active	Polygalacturonase
GH78	pectinase,glycoside_hydrolase,carbohydrate_active	Alpha-rhamnosidase
GH88	pectinase,glycoside_hydrolase,carbohydrate_active	Unsaturated glucuronyl hydrolase
GH105	pectinase,glycoside_hydrolase,carbohydrate_active	Unsaturated rhamnogalacturonyl hydrolase
PL1	pectinase,polysaccharide_lyase,carbohydrate_active	Pectate lyase
PL2	pectinase,polysaccharide_lyase,carbohydrate_active	Pectate lyase
