# KEGG facts behind kegg_predicates.tsv, generated by scripts/build_kegg_predicate_map.py; edit the proposals or rules, not this file.
# KEGG: KEGG REST retrieved 2026-09-24; ko_list.tsv sha256 bf37ae22839f8805 (28564 KOs); modules.txt sha256 b9b2b815ef61c8eb (574 modules); ko_list sha256 05f9267a37f1cec8 (75 KOfam KOs absent from KEGG REST)
# Swiss-Prot: uniprot_sprot.dat.gz 2026_03 sha256 c87208822a56e8ae (428,778 reviewed proteins linked to KOs); KEGG gene links swissprot_kegg_ko.tsv sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	symbols	name	brite	modules
K00001	ADH	alcohol dehydrogenase [EC:1.1.1.1]		
K00002	AKR1A1, adh	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]		M00014,M00129
K00003	hom	homoserine dehydrogenase [EC:1.1.1.3]		M00017,M00018
K00004	BDH, butB	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]		
K00005	gldA	glycerol dehydrogenase [EC:1.1.1.6]		
K00006	GPD1	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]		
K00007	dalD	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]		
K00008	SORD, gutB	L-iditol 2-dehydrogenase [EC:1.1.1.14]		M00014
K00009	mtlD	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]		
K00010	iolG	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]		
K00011	AKR1B	aldehyde reductase [EC:1.1.1.21]		
K00012	UGDH, ugd	UDPglucose 6-dehydrogenase [EC:1.1.1.22]		M00014,M00129,M00761,M00997,M00999
K00013	hisD	histidinol dehydrogenase [EC:1.1.1.23]		M00026
K00014	aroE	shikimate dehydrogenase [EC:1.1.1.25]		M00022
K00015	gyaR, GOR1	glyoxylate reductase [EC:1.1.1.26]		
K00016	LDH, ldh	L-lactate dehydrogenase [EC:1.1.1.27]		
K00018	hprA	glycerate dehydrogenase [EC:1.1.1.29]		M00346
K00019	BDH1, bdhA	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]		M00088
K00020	HIBADH, mmsB	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]		
K00021	HMGCR	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]		M00095,M00849
K00022	HADH	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]		M00032,M00085,M00087
K00023	phbB	acetoacetyl-CoA reductase [EC:1.1.1.36]		M00373
K00024	mdh	malate dehydrogenase [EC:1.1.1.37]		M00009,M00011,M00012,M00168,M00173,M00346,M00374,M00620,M00740,M00982
K00025	MDH1	malate dehydrogenase [EC:1.1.1.37]		M00009,M00011,M00012,M00168,M00171
K00026	MDH2	malate dehydrogenase [EC:1.1.1.37]		M00009,M00011,M00012,M00168,M00171
K00027	ME2, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]		
