# KEGG ortholog names for every KO in kegg_map.KEGG_TO_PREDICATES.
# Source: https://rest.kegg.jp/list/<KO>, retrieved 2026-09-24; KOs retired from KEGG REST use the KOfam ko_list definition. Refresh when adding KOs.
# ko	symbols	definition
K00024	mdh	malate dehydrogenase [EC:1.1.1.37]
K00031	IDH1, IDH2, icd, IDP	isocitrate dehydrogenase [EC:1.1.1.42]
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
K00164	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00192	cdhA	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]
K00193	cdhC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]
K00194	cdhD, acsD	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]
K00197	cdhE, acsC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]
K00198	cooS, acsA	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]
K00200	fwdA, fmdA	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]
K00201	fwdB, fmdB	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]
K00239	sdhA, frdA	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
K00320	mer	5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]
K00368	nirK	nitrite reductase (NO-forming) [EC:1.7.2.1]
K00370	narG, narZ, nxrA	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]
K00371	narH, narY, nxrB	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]
K00374	narI, narV	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]
K00376	nosZ	nitrous-oxide reductase [EC:1.7.2.4]
K00394	aprA	adenylylsulfate reductase, subunit A [EC:1.8.99.2]
K00395	aprB	adenylylsulfate reductase, subunit B [EC:1.8.99.2]
K00399	mcrA	methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]
K00401	mcrB	methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]
K00402	mcrG	methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]
K00425	cydA	cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]
K00426	cydB	cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]
K00436	hoxH	NAD-reducing hydrogenase large subunit [EC:1.12.1.2]
K00437	hydB	[NiFe] hydrogenase large subunit [EC:1.12.2.1]
K00440	frhA	coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1]
K00441	frhB	coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]
K00443	frhG	coenzyme F420 hydrogenase subunit gamma [EC:1.12.98.1]
K00492	tmuM	1,3,7-trimethyluric acid 5-monooxygenase [EC:1.14.13.212]
K00532	E1.12.7.2	ferredoxin hydrogenase [EC:1.12.7.2]
K00533	E1.12.7.2L	ferredoxin hydrogenase large subunit [EC:1.12.7.2]
K00534	E1.12.7.2S	ferredoxin hydrogenase small subunit [EC:1.12.7.2]
K00558	DNMT1, dcm	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
K00571	E2.1.1.72	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
K00577	mtrA	tetrahydromethanopterin S-methyltransferase subunit A [EC:7.2.1.4]
K00610	pyrI	aspartate carbamoyltransferase regulatory subunit
K00663	aacA	aminoglycoside 6'-N-acetyltransferase [EC:2.3.1.82]
K00844	HK	hexokinase [EC:2.7.1.1]
K00850	pfkA, PFK	6-phosphofructokinase 1 [EC:2.7.1.11]
K00860	cysC	adenylylsulfate kinase [EC:2.7.1.25]
K00873	PK, pyk	pyruvate kinase [EC:2.7.1.40]
K00927	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3]
K00958	sat, met3	sulfate adenylyltransferase [EC:2.7.7.4]
