# KEGG module -> predicate rules (curated). Every KO in the module definition
# carries the predicates, with the module as evidence. Listed modules are
# central-carbon, fatty-acid and cofactor pathways (membership = a step of that
# pathway), respiratory/photosynthetic complexes, nitrogenase and SOX. Modules
# whose components also serve other pathways stay out (for example Hdr in
# methanogenesis, DsrAB in sulfate reduction, NarGHI in denitrification,
# AmoA/PmoA shared by nitrification and methane oxidation).
# Separately, every KO joined by '+' or '-' in any module definition carries
# complex_subunit.
# module	predicates
M00001	glycolysis
M00002	glycolysis
M00003	gluconeogenesis
M00004	pentose_phosphate
M00006	pentose_phosphate
M00007	pentose_phosphate
M00580	pentose_phosphate
M00008	entner_doudoroff
M00308	entner_doudoroff
M00633	entner_doudoroff
M00309	entner_doudoroff
M00009	tca_cycle
M00010	tca_cycle
M00011	tca_cycle
M00012	glyoxylate_cycle
M00087	beta_oxidation fatty_acid_degradation
M00082	fatty_acid_synthesis
M00083	fatty_acid_synthesis
M00026	histidine_biosynthesis
M00115	nad_biosynthesis
M00912	nad_biosynthesis
M00125	fad_biosynthesis
M00122	cobalamin_biosynthesis
M00924	cobalamin_biosynthesis
M00925	cobalamin_biosynthesis
M00124	pyridoxal_biosynthesis
M00916	pyridoxal_biosynthesis
M00126	folate_biosynthesis
M00840	folate_biosynthesis
M00841	folate_biosynthesis
M00127	thiamine_biosynthesis
M00895	thiamine_biosynthesis
M00896	thiamine_biosynthesis
M00121	heme_biosynthesis
M00926	heme_biosynthesis
M00847	heme_biosynthesis
M00095	isoprenoid_biosynthesis
M00096	isoprenoid_biosynthesis
M00849	isoprenoid_biosynthesis
M00144	electron_transport
M00149	electron_transport
M00151	electron_transport
M00152	electron_transport
M00153	cytochrome_bd_oxidase terminal_oxidase
M00154	cytochrome_c_oxidase terminal_oxidase
M00155	cytochrome_c_oxidase terminal_oxidase
M00156	cytochrome_c_oxidase terminal_oxidase
M00416	terminal_oxidase
M00417	terminal_oxidase
M00157	atp_synthesis
M00161	photosynthesis photosystem_ii
M00163	photosynthesis photosystem_i
M00162	photosynthesis electron_transport
M00597	photosynthesis
M00598	photosynthesis
M00175	nitrogenase nitrogen_fixation
M00595	sulfur_oxidation
