# Generated by scripts/build_kegg_predicate_map.py; edit the proposals or rules, not this file.
# KEGG: KEGG REST retrieved 2026-09-24; ko_list.tsv sha256 bf37ae22839f8805 (28564 KOs); modules.txt sha256 b9b2b815ef61c8eb (574 modules); ko_list sha256 05f9267a37f1cec8 (75 KOfam KOs absent from KEGG REST)
# Swiss-Prot: uniprot_sprot.dat.gz 2026_03 sha256 c87208822a56e8ae (428,778 reviewed proteins linked to KOs); KEGG gene links swissprot_kegg_ko.tsv sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	predicates	evidence
K00001	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.1;nad_binding=ec:1.1.1.1;oxidoreductase=ec:1.1.1.1
K00002	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.2;nad_binding=ec:1.1.1.2;oxidoreductase=ec:1.1.1.2
K00003	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.3;nad_binding=ec:1.1.1.3;oxidoreductase=ec:1.1.1.3
K00004	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.4;nad_binding=ec:1.1.1.4;oxidoreductase=ec:1.1.1.4;reductase=text:reductase
K00005	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.6;nad_binding=ec:1.1.1.6;oxidoreductase=ec:1.1.1.6
K00006	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.8;nad_binding=ec:1.1.1.8;oxidoreductase=ec:1.1.1.8
K00007	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.11;nad_binding=ec:1.1.1.11;oxidoreductase=ec:1.1.1.11
K00008	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.14;nad_binding=ec:1.1.1.14;oxidoreductase=ec:1.1.1.14
K00009	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.17;nad_binding=ec:1.1.1.17;oxidoreductase=ec:1.1.1.17
K00010	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.18;nad_binding=ec:1.1.1.18;oxidoreductase=ec:1.1.1.18
K00011	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.21;nad_binding=ec:1.1.1.21;oxidoreductase=ec:1.1.1.21;reductase=text:reductase
K00012	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.22;nad_binding=ec:1.1.1.22;oxidoreductase=ec:1.1.1.22
K00013	dehydrogenase,histidine_biosynthesis,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.23;histidine_biosynthesis=module:M00026;nad_binding=ec:1.1.1.23;oxidoreductase=ec:1.1.1.23
K00014	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.25;nad_binding=ec:1.1.1.25;oxidoreductase=ec:1.1.1.25
K00015	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.26;nad_binding=ec:1.1.1.26;oxidoreductase=ec:1.1.1.26;reductase=text:reductase
K00016	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.27;nad_binding=ec:1.1.1.27;oxidoreductase=ec:1.1.1.27
K00018	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.29;nad_binding=ec:1.1.1.29;oxidoreductase=ec:1.1.1.29
K00019	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.30;nad_binding=ec:1.1.1.30;oxidoreductase=ec:1.1.1.30
K00020	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.31;nad_binding=ec:1.1.1.31;oxidoreductase=ec:1.1.1.31
K00021	dehydrogenase,isoprenoid_biosynthesis,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.34;isoprenoid_biosynthesis=module:M00095;nad_binding=ec:1.1.1.34;oxidoreductase=ec:1.1.1.34;reductase=text:reductase
K00022	beta_oxidation,dehydrogenase,fatty_acid_degradation,nad_binding,oxidoreductase	beta_oxidation=module:M00087;dehydrogenase=ec:1.1.1.35;fatty_acid_degradation=module:M00087;nad_binding=ec:1.1.1.35;oxidoreductase=ec:1.1.1.35
K00023	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.36;nad_binding=ec:1.1.1.36;oxidoreductase=ec:1.1.1.36;reductase=text:reductase
K00024	central_metabolism,dehydrogenase,glyoxylate_cycle,nad_binding,oxidoreductase,tca_cycle	central_metabolism=text:malate dehydrogenase;dehydrogenase=ec:1.1.1.37;glyoxylate_cycle=module:M00012;nad_binding=ec:1.1.1.37;oxidoreductase=ec:1.1.1.37;tca_cycle=module:M00009
K00025	dehydrogenase,glyoxylate_cycle,nad_binding,oxidoreductase,tca_cycle	dehydrogenase=ec:1.1.1.37;glyoxylate_cycle=module:M00012;nad_binding=ec:1.1.1.37;oxidoreductase=ec:1.1.1.37;tca_cycle=module:M00009
K00026	dehydrogenase,glyoxylate_cycle,nad_binding,oxidoreductase,tca_cycle	dehydrogenase=ec:1.1.1.37;glyoxylate_cycle=module:M00012;nad_binding=ec:1.1.1.37;oxidoreductase=ec:1.1.1.37;tca_cycle=module:M00009
K00027	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.38;nad_binding=ec:1.1.1.38;oxidoreductase=ec:1.1.1.38
K00028	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.39;nad_binding=ec:1.1.1.39;oxidoreductase=ec:1.1.1.39
K00029	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.40;nad_binding=ec:1.1.1.40;oxidoreductase=ec:1.1.1.40
K00030	dehydrogenase,nad_binding,oxidoreductase,tca_cycle	dehydrogenase=ec:1.1.1.41;nad_binding=ec:1.1.1.41;oxidoreductase=ec:1.1.1.41;tca_cycle=module:M00009
K00031	central_metabolism,dehydrogenase,nad_binding,oxidoreductase,tca_cycle	central_metabolism=text:isocitrate;dehydrogenase=ec:1.1.1.42;nad_binding=ec:1.1.1.42;oxidoreductase=ec:1.1.1.42;tca_cycle=module:M00009
K00032	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.43;nad_binding=ec:1.1.1.43;oxidoreductase=ec:1.1.1.43
K00033	dehydrogenase,nad_binding,oxidoreductase,pentose_phosphate	dehydrogenase=ec:1.1.1.44;nad_binding=ec:1.1.1.44;oxidoreductase=ec:1.1.1.44;pentose_phosphate=module:M00004
K00034	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.47;nad_binding=ec:1.1.1.47;oxidoreductase=ec:1.1.1.47
K00035	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.48;nad_binding=ec:1.1.1.48;oxidoreductase=ec:1.1.1.48
K00036	dehydrogenase,entner_doudoroff,nad_binding,oxidoreductase,pentose_phosphate	dehydrogenase=ec:1.1.1.49;entner_doudoroff=module:M00008;nad_binding=ec:1.1.1.49;oxidoreductase=ec:1.1.1.49;pentose_phosphate=module:M00004
K00037	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.50;nad_binding=ec:1.1.1.50;oxidoreductase=ec:1.1.1.50;reductase=text:reductase
K00038	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.53;nad_binding=ec:1.1.1.53;oxidoreductase=ec:1.1.1.53
K00039	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.56;nad_binding=ec:1.1.1.56;oxidoreductase=ec:1.1.1.56
K00040	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.57;nad_binding=ec:1.1.1.57;oxidoreductase=ec:1.1.1.57;reductase=text:reductase
K00041	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.58;nad_binding=ec:1.1.1.58;oxidoreductase=ec:1.1.1.58;reductase=text:reductase
K00042	dehydrogenase,nad_binding,oxidoreductase,reductase	dehydrogenase=ec:1.1.1.60;nad_binding=ec:1.1.1.60;oxidoreductase=ec:1.1.1.60;reductase=text:reductase
K00043	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.61;nad_binding=ec:1.1.1.61;oxidoreductase=ec:1.1.1.61
K00044	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.62;nad_binding=ec:1.1.1.62;oxidoreductase=ec:1.1.1.62
K00045	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.67;nad_binding=ec:1.1.1.67;oxidoreductase=ec:1.1.1.67
K00046	dehydrogenase,nad_binding,oxidoreductase	dehydrogenase=ec:1.1.1.69;nad_binding=ec:1.1.1.69;oxidoreductase=ec:1.1.1.69
