# Reviewed-protein consensus per KO; generated by scripts/build_kegg_swissprot_consensus.py.
# Swiss-Prot 2026_03 (uniprot_sprot.dat.gz sha256 c87208822a56e8ae); KEGG gene links sha256 20ab0dd3b910cb82; go-basic.obo sha256 b08d45b268b8c24c
# ko	predicate	agreeing	proteins
K00001	dehydrogenase	14	14
K00001	nad_binding	14	14
K00001	oxidoreductase	14	14
K00002	dehydrogenase	17	18
K00002	nad_binding	17	18
K00002	oxidoreductase	18	18
K00003	dehydrogenase	19	20
K00003	nad_binding	19	20
K00003	oxidoreductase	19	20
K00006	dehydrogenase	34	34
K00006	nad_binding	34	34
K00006	oxidoreductase	34	34
K00008	dehydrogenase	11	12
K00008	nad_binding	11	12
K00008	oxidoreductase	12	12
K00009	dehydrogenase	149	149
K00009	nad_binding	149	149
K00009	oxidoreductase	149	149
K00010	dehydrogenase	63	64
K00010	nad_binding	63	64
K00010	oxidoreductase	64	64
K00011	dehydrogenase	17	17
K00011	nad_binding	17	17
K00011	oxidoreductase	17	17
K00012	dehydrogenase	40	40
K00012	nad_binding	40	40
K00012	oxidoreductase	40	40
K00013	dehydrogenase	203	208
K00013	nad_binding	203	208
K00013	oxidoreductase	208	208
K00014	dehydrogenase	357	357
K00014	nad_binding	357	357
K00014	oxidoreductase	357	357
K00015	dehydrogenase	12	13
K00015	nad_binding	12	13
K00015	oxidoreductase	13	13
K00016	dehydrogenase	228	228
K00016	nad_binding	228	228
K00016	oxidoreductase	228	228
K00019	oxidoreductase	7	7
K00020	dehydrogenase	13	13
K00020	nad_binding	13	13
K00020	oxidoreductase	13	13
K00021	dehydrogenase	36	36
K00021	nad_binding	36	36
K00021	oxidoreductase	36	36
K00022	dehydrogenase	7	7
K00022	nad_binding	7	7
K00022	oxidoreductase	7	7
K00024	dehydrogenase	492	492
K00024	nad_binding	492	492
K00024	oxidoreductase	492	492
K00025	dehydrogenase	18	18
K00025	nad_binding	18	18
K00025	oxidoreductase	18	18
K00026	dehydrogenase	19	19
K00026	nad_binding	19	19
K00026	oxidoreductase	19	19
K00027	dehydrogenase	118	118
K00027	nad_binding	118	118
K00027	oxidoreductase	118	118
K00029	dehydrogenase	21	21
K00029	nad_binding	21	21
K00029	oxidoreductase	21	21
K00031	dehydrogenase	52	52
K00031	nad_binding	52	52
K00031	oxidoreductase	52	52
K00033	dehydrogenase	45	45
K00033	nad_binding	45	45
K00033	oxidoreductase	45	45
K00036	dehydrogenase	58	59
K00036	nad_binding	58	59
K00036	oxidoreductase	58	59
K00041	dehydrogenase	38	38
K00041	nad_binding	38	38
K00041	oxidoreductase	38	38
K00045	dehydrogenase	9	9
K00045	nad_binding	9	9
