# Regex proposals applied to every Pfam family's 'name description' (case-insensitive).
# Proposals only: each proposed pair still needs evidence (see build_pfam_predicate_map.py).
# pattern	predicates (comma-separated)
\btransport\b	transporter
ABC.*(transporter|permease|ATPase)	transporter,abc_transporter
MFS|Major.facilitat	transporter,mfs_transporter
\bchannel\b	transporter,ion_channel
\bporin\b	transporter,porin,outer_membrane
\befflux\b	transporter,efflux_pump
\bsymport	transporter,symporter
\bantiport	transporter,antiporter
\bpermease\b	transporter,membrane
FeoB|ferrous.*iron.*transport	transporter,metal_transporter,iron_binding
dehydrogenase	oxidoreductase,dehydrogenase
reductase	oxidoreductase,reductase
oxidase	oxidoreductase,oxidase
oxygenase	oxidoreductase,oxygenase
peroxidase	oxidoreductase,peroxidase
kinase	kinase,transferase
phosphatase	phosphatase,hydrolase
protease|peptidase	protease,hydrolase
nuclease|endonuclease|exonuclease	nuclease,hydrolase
lipase	lipase,hydrolase
esterase	esterase,hydrolase
hydrolase	hydrolase
transferase	transferase
lyase	lyase
isomerase	isomerase
ligase|synthetase	ligase
synthase	synthase
methyltransferase|methylase	methyltransferase,transferase
acetyltransferase	acetyltransferase,transferase
glycosyltransferase	glycosyltransferase,transferase
transcription.*regulator|regulator.*transcription	regulator,transcription_factor
DNA.binding.*transcription|transcription.*factor	regulator,transcription_factor,dna_binding
helix.turn.helix|helix.hairpin.helix|HTH|HhH	dna_binding,helix_turn_helix
response.regulator	regulator,response_regulator,two_component
sensor.*kinase|histidine.*kinase	sensor_kinase,two_component
LysR	regulator,lysr_family
TetR	regulator,tetr_family
GntR	regulator,gntr_family
AraC	regulator,arac_family
LuxR	regulator,luxr_family
MarR	regulator,marr_family
LacI	regulator,laci_family
sigma.*factor	sigma_factor,regulator
GGDEF	signaling,cyclic_dinucleotide,diguanylate_cyclase
EAL|c.di.GMP	signaling,cyclic_dinucleotide
PAS.*domain	signaling
GAF.*domain	signaling
DNA.bind|binds.*DNA	dna_binding
RNA.bind|binds.*RNA	rna_binding
ATP.bind|binds.*ATP|ATPase	atp_binding
GTP.bind|binds.*GTP|GTPase	gtp_binding
NAD.bind|NAD\+|NADH|NADP	nad_binding,cofactor_binding
FAD.bind|FAD	fad_binding,cofactor_binding
FMN	fmn_binding,cofactor_binding
PLP|pyridoxal	plp_binding,cofactor_binding
heme|haem|cytochrome	heme_binding,iron_binding,cytochrome
iron.sulfur|Fe.S|4Fe.4S|2Fe.2S|ferredoxin	iron_sulfur,metal_binding
zinc.*finger|Zn.*finger	zinc_finger,zinc_binding,metal_binding
nickel|urease|NiFe|Ni-Fe	nickel_binding,metal_binding
molybdo|MoCo|molybdopterin|tungsten	molybdenum_binding,metal_binding
copper|cupredoxin|plastocyanin|laccase|Cu-	copper_binding,metal_binding
cobalt|cobalamin|B12|adenosylcob|methylcob	cobalt_binding,cobalamin_binding,metal_binding
manganese|Mn-|arginase	manganese_binding,metal_binding
calcium|EF.hand|calmodulin	calcium_binding,metal_binding
zinc.*bind|Zn.*bind|zinc.*site	zinc_binding,metal_binding
metal.*bind	metal_binding
membrane|transmembrane	membrane
outer.*membrane	outer_membrane,membrane
signal.*peptide|secretion.*signal	secreted
periplasmic	periplasmic
flagell	flagellum
pil[iu]|fimbr	pilus
adhesin	adhesin,cell_surface
peptidoglycan|murein	peptidoglycan,cell_wall
capsul	capsule
LPS|lipopolysaccharide|lipid.*A	lps_biosynthesis
transposase	transposase,mobile_element
integrase	integrase,mobile_element
recombinase	recombinase,mobile_element
resolvase	resolvase,mobile_element
phage|bacteriophage	phage_related
heat.*shock|HSP\d+	heat_shock,stress_response,chaperone
cold.*shock|CSP	cold_shock,stress_response
chaperone|chaperonin	chaperone,stress_response
catalase	catalase,oxidative_stress
superoxide.*dismutase|SOD	superoxide_dismutase,oxidative_stress
thioredoxin	thioredoxin,oxidative_stress
glutaredoxin	glutaredoxin,oxidative_stress
beta.lactamase	beta_lactamase,antibiotic_resistance
antibiotic.*resistance	antibiotic_resistance
multidrug|MDR	multidrug_resistance,antibiotic_resistance
arsenic|ars[ABC]	arsenic_resistance,heavy_metal_resistance
mercury|mer[ABCDE]	mercury_resistance,heavy_metal_resistance
\bhydrogenase\b	hydrogenase,hydrogen_metabolism
nitrogenase\s+(reductase|subunit|NifH)	nitrogenase,nitrogen_fixation
nitrate.*reductase|nar[GHI]	nitrate_reduction,denitrification
nitrite.*reductase|nir[KS]	denitrification
methano(?!genesis)	archaeal_one_carbon,one_carbon_metabolism
methyl.*coenzyme.*M.*reductase|MCR[_-]?[ABG]	methanogenesis,mcr_complex
RuBisCO|ribulose.*bisphosphate.*carboxylase	rubisco,carbon_fixation
photosystem	photosynthesis
glycolysis|glycolytic	glycolysis,central_metabolism
TCA|citric.*acid|Krebs	tca_cycle,central_metabolism
pentose.*phosphate	pentose_phosphate,central_metabolism
fatty.*acid.*synth	fatty_acid_synthesis,lipid_metabolism
beta.*oxidation|fatty.*acid.*degrad	fatty_acid_degradation,lipid_metabolism
cellulase	cellulase,glycoside_hydrolase,carbohydrate_active
chitinase	chitinase,glycoside_hydrolase,carbohydrate_active
amylase	amylase,glycoside_hydrolase,carbohydrate_active
xylanase	xylanase,glycoside_hydrolase,carbohydrate_active
pectinase|pectin.*lyase	pectinase,carbohydrate_active
TPR.*repeat	repeat_domain,tpr_repeat
WD.?40|beta.*propeller	repeat_domain,wd40_repeat
LRR|leucine.rich.*repeat	repeat_domain,lrr_repeat
ankyrin	repeat_domain,ankyrin_repeat
coiled.coil	coiled_coil
restriction.*enzyme|restriction.*endonuclease	restriction_enzyme,restriction_modification
CRISPR|Cas\d+	cas_domain,defense_system
toxin.antitoxin|TA.*system	toxin_domain,antitoxin_domain,defense_system
DNA.*polymerase|pol[AB]|dna[EGI]	dna_polymerase,replication
helicase	helicase
topoisomerase|gyr[AB]	topoisomerase,replication
primase	primase,replication
RNA.*polymerase|rpo[ABC]	rna_polymerase,transcription
ribosom	ribosomal_protein,translation
tRNA.*synthetase|aminoacyl.*tRNA|tRNA.synt	trna_synthetase,translation
elongation.*factor|EF.Tu|EF.G	translation_factor,translation
\bAAA\b	aaa_domain,atp_binding,atpase
ATPase	atpase,atp_binding
\bepimerase\b	epimerase,isomerase
dehydratase|dTDP.*dehydratase	dehydratase,lyase
haloacid|HAD	hydrolase,phosphatase
Glycos.*transf|Glyco.*trans	glycosyltransferase,transferase,carbohydrate_active
polysaccharide.*synth	glycosyltransferase,carbohydrate_active
GT\d+|glycosyl.*transfer	glycosyltransferase,transferase
Aminotran|aminotransfer	aminotransferase,transferase,plp_binding
\bFer4\b|\bFer2\b|ferredoxin	iron_sulfur,ferredoxin,metal_binding,electron_transport
\bTPR\b|tetratricopeptide	repeat_domain,tpr_repeat,protein_binding
\bHEAT\b	repeat_domain,heat_repeat,protein_binding
Methyltransf|Mtase|MTase	methyltransferase,transferase,sam_binding
acetyltransf|GNAT	acetyltransferase,transferase
Radical.*SAM|radical.SAM	radical_sam,iron_sulfur,enzyme
\bPQQ\b	oxidoreductase,pqq_binding
cytochrome|Cytochrom	cytochrome,heme_binding,electron_transport,respiration
T2SS|Type.II.*secret	secretion_component,t2ss_component
T3SS|Type.III.*secret	secretion_component,t3ss_component
T4SS|Type.IV.*secret	secretion_component,t4ss_component
T6SS|Type.VI.*secret	secretion_component,t6ss_component
\bSec[ABDEFGY]\b|SecD|SecF	secretion_component,sec_pathway
\bTat[ABC]\b|twin.arginine	secretion_component,tat_pathway
biosynth	biosynthesis
NAD.*synth	nad_biosynthesis,cofactor_biosynthesis
thiamin|ThiI|TPP	thiamine_biosynthesis,cofactor_biosynthesis
cobalamin|B12|Cob[A-Z]	cobalamin_biosynthesis,cofactor_biosynthesis
\bFts[AZWLNQKX]\b|divisome|division	cell_division,divisome
\bPar[AB]\b|partition	cell_division,chromosome_partitioning
\bSMC\b|structural.*maintenance	cell_division,chromosome_partitioning
\bantitoxin\b|MazE|HicB|RelB|ParD|VapB	antitoxin_domain,defense_system
\btoxin\b|MazF|HicA|RelE|ParE|VapC	toxin_domain,defense_system
\bPIN\b.*domain	toxin_domain,pin_domain
\bGTPase\b|GTP.*binding|G.protein	gtpase,gtp_binding
50S.*ribosome.*GTPase|ribosome.*GTPase	gtpase,ribosomal_protein,translation
nitroreductase	oxidoreductase,reductase
flavoprotein|flavin	oxidoreductase,fad_binding
amidohydrolase|Amidohydro	hydrolase,amidase,metal_binding
carbamoyl.*phosphate|CPSase	ligase,amino_acid_metabolism
chelatase	chelatase,atp_binding
F420	oxidoreductase,f420_dependent,archaeal_one_carbon
acylphosphatase	hydrolase,phosphatase
ParA.*NTPase|MinD	cell_division,atp_binding
hemerythrin|Hemerythrin	oxygen_binding,iron_binding
[Ii]ntein|splicing	mobile_element
\bHEPN\b	nuclease,defense_system
\bKOW\b|\bKH_\d	rna_binding,translation
MacB|ABC.*permease	transporter,abc_transporter
Adenyls|adenylsuccin	ligase,purine_metabolism
Toprim|topoisom	topoisomerase,replication
ATP.grasp	ligase,atp_binding
tRNA.*trans|tRNA_Me|tRNA.*modif	trna_modification,translation
Zn_Ribbon|zinc.*ribbon	zinc_binding,dna_binding,transcription
\bPAC\b	signaling
\bPrmA\b	methyltransferase,translation
\bPUA\b	rna_binding
Rad51|RecA	dna_repair,recombinational_repair,atp_binding
UDPG.*dh|UDP.*dehydrogen	oxidoreductase,dehydrogenase,carbohydrate_active
\bMCM\b	helicase,replication,atp_binding
\bS1\b.*domain|Ribosomal.*S1	rna_binding,translation
\bTrkA\b|\bTrk[HK]\b	transporter,ion_transporter,regulatory
Dala.*lig|D-Ala	ligase,peptidoglycan,cell_wall
\bAbi[A-Z]+\b	defense_system,abortive_infection
\bNRDD\b	oxidoreductase,reductase,nucleotide_metabolism
\bSRP\d*\b	signal_recognition,gtp_binding,secretion_component
\bLeuA\b	amino_acid_biosynthesis,transferase
Iso_dh|isocitrate.*dehydrogen	oxidoreductase,dehydrogenase,tca_cycle
[Pp]roteasome	protease,hydrolase
AdoHcy|S-adenosyl.*homocysteine	hydrolase,sam_binding
HhH.*GPD|glycosylase	dna_repair,base_excision_repair
\bUbiA\b|ubiquinone	transferase,cofactor_biosynthesis
\bGate\b	membrane
LigT|PEase|phosphoesterase	hydrolase,phosphatase
MoxR|bpMoxR	aaa_domain,atp_binding,chaperone
\bSNAP\b	membrane,vesicle_trafficking
ATP.synt|ATPsynthase	atp_synthesis,energy_metabolism
[Ss]emialdhyde.*dh|semialdehyde.*dehydrogen	oxidoreductase,dehydrogenase,amino_acid_metabolism
RNase.*PH|Rnase_PH	rnase,hydrolase,rna_processing
\beRF\d|release.*factor	translation_factor,translation
RrnaAD|rRNA.*methyl	methyltransferase,rrna_modification
RNA.*pol|Rpb\d	rna_polymerase,transcription
\bGatB\b|Glu.*tRNA.*amidotrans	trna_synthetase,translation
\bIF-\d|initiation.*factor	translation_factor,translation
\bTGS\b	regulatory,gtp_binding
\bFKBP\b	isomerase,chaperone
\bMet[WS]\b	amino_acid_biosynthesis
Sigma54.*activat	regulator,sigma_factor,atp_binding
[Aa]conitase	tca_cycle,iron_sulfur,lyase
\bPAS_\d	signaling
\bACT_\d	regulatory,amino_acid_metabolism
\bPKD\b	cell_surface,repeat_domain
[Tt]ransglut	transferase
[Pp]hospho[Mm]utase|PGM_PMM	isomerase,mutase,carbohydrate_active
\bAIRC\b	lyase,purine_metabolism
\bFic\b	transferase
LAGLIDADG	nuclease,mobile_element
[Rr]homboid	protease,membrane
\bGIDA\b	oxidoreductase,trna_modification
\bThiG\b	thiamine_biosynthesis,cofactor_biosynthesis
\bDHH\b	phosphatase,hydrolase
ATP.cone	regulatory,atp_binding
[Pp]roton.*antipo	transporter,antiporter,membrane
\bFeoA\b	transporter,iron_binding
[Rr]ubrerythrin	oxidative_stress,iron_binding
\bMGS\b	metal_binding
OrfB.*IS|IS\d+.*transpos	transposase,mobile_element
\bRIO\d?\b	kinase,translation
\bGGR\b	hydrolase,carbohydrate_active
\bS4\b.*domain	rna_binding
\bTraB\b|conjugat	conjugation,mobile_element
HEAT.*PBS|phycobili	repeat_domain,photosynthesis
\bDUF\d+\b	hypothetical
oxidored|Oxidored	oxidoreductase
_bind\b|binding	binding
_synt\b|synth\b	synthase
_hydro\b|hydrol	hydrolase
_lig\b	ligase
_[NC]\b	
