# Generated by scripts/build_pfam_predicate_map.py; edit the proposals, not this file.
# Pfam: Pfam-A.hmm sha256 8bab3a946e6d99a4 (24076 families); Pfam-A.clans.tsv.gz (30134 families)
# GO: pfam2go sha256 30274dd59c468d70; go-basic.obo sha256 b08d45b268b8c24c
# ENZYME: enzyme.dat sha256 6e1f553fcaa15ba7
# Swiss-Prot: uniprot_sprot.dat.gz 2026_03 sha256 c87208822a56e8ae (553,641 reviewed proteins with Pfam); KEGG gene links swissprot_kegg_ko.tsv sha256 20ab0dd3b910cb82; KO predicates from kegg_predicates.tsv sha256 054c42a1455b7f34
# accession	name	predicates	evidence
PF00001	7tm_1	membrane	membrane=go:GO:0016020
PF00002	7tm_2	membrane	membrane=go:GO:0016020
PF00003	7tm_3	membrane	membrane=go:GO:0016020
PF00004	AAA	aaa_domain,atp_binding,atpase	aaa_domain=text:AAA;atp_binding=go:GO:0005524;atpase=go:GO:0016887
PF00005	ABC_tran	abc_atpase,abc_transporter,atp_binding,transporter	abc_atpase=go:GO:0016887;abc_transporter=text:ABC_;atp_binding=go:GO:0005524;transporter=text:ABC_
PF00006	ATP-synt_ab	atp_binding,atp_synthesis,binding,energy_metabolism,synthase	atp_binding=go:GO:0005524;atp_synthesis=text:ATP-synt;binding=go:GO:0005488;energy_metabolism=text:ATP-synt;synthase=text:synthase
PF00009	GTP_EFTU	binding,gtp_binding,gtpase,translation,translation_factor	binding=go:GO:0005488;gtp_binding=go:GO:0005525;gtpase=go:GO:0003924;translation=text:Elongation factor;translation_factor=text:Elongation factor
PF00010	HLH	binding,dna_binding,helix_loop_helix	binding=go:GO:0005488;dna_binding=text:DNA-binding;helix_loop_helix=text:HLH
PF00011	HSP20	chaperone,heat_shock,small_hsp,stress_response	chaperone=text:HSP2;heat_shock=text:HSP;small_hsp=text:HSP20;stress_response=text:HSP2
PF00012	HSP70	atp_binding,chaperone,heat_shock,hsp70,stress_response	atp_binding=go:GO:0005524;chaperone=text:HSP7;heat_shock=text:HSP;hsp70=text:HSP70;stress_response=text:HSP7
PF00013	KH_1	rna_binding	rna_binding=go:GO:0003723
PF00014	Kunitz_BPTI	protease	protease=enzyme:3.4.21.4 (trypsin)
PF00015	MCPsignal	chemotaxis,membrane,signaling	chemotaxis=text:Methyl-accepting;membrane=go:GO:0016020;signaling=go:GO:0007165
PF00016	RuBisCO_large	carbon_fixation,rubisco	carbon_fixation=go:GO:0016984;rubisco=go:GO:0016984
PF00018	SH3_1	protein_binding	protein_binding=go:GO:0005515
PF00023	Ank	ankyrin_repeat,protein_binding,repeat_domain	ankyrin_repeat=text:Ank;protein_binding=go:GO:0005515;repeat_domain=text:Ankyrin
PF00025	Arf	gtp_binding,gtpase	gtp_binding=go:GO:0005525;gtpase=go:GO:0003924
PF00026	Asp	hydrolase,peptidase,protease	hydrolase=text:protease;peptidase=swissprot:242/246 KOs 26/26 single-domain 154/157;protease=text:protease
PF00027	cNMP_binding	binding,crp_fnr_family	binding=text:binding;crp_fnr_family=text:cNMP
