# HydDB reference labels per KO at the KOfam threshold; generated by scripts/build_kegg_hyddb_snapshot.py.
# HydDB: HydDB_all_hydrogenases.faa sha256 c7c13c1f0869d1e6; KOfam: ko_list sha256 05f9267a37f1cec8; 121 KOs named as hydrogenases
# ko	references	labels
K00436	174	[NiFe]_Group_3d=174
K00437	40	[NiFe]_Group_1b=40
K00440	60	[NiFe]_Group_3a=60
K00441	0	
K00442	0	
K00443	0	
K00532	0	
K00533	0	
K00534	0	
K03605	0	
K03618	0	
K03619	0	
K03620	0	
K04651	0	
K04652	0	
K04653	0	
K04654	0	
K04655	0	
K04656	0	
K05586	0	
K05587	0	
K05588	0	
K05922	89	[NiFe]_Group_1b=89
K05927	0	
K06281	512	[NiFe]_Group_1b=73|[NiFe]_Group_1c=107|[NiFe]_Group_1d=214|[NiFe]_Group_1e=34|[NiFe]_Group_1f=41|[NiFe]_Group_1h=43
K06282	0	
K06441	0	
K06862	0	
K07388	0	
K07464	0	
K08315	0	
K12136	0	
K12137	0	
K12138	0	
K12139	0	
K12140	0	
K12141	0	
K12142	35	[NiFe]_Group_4a=35
K12143	0	
K12144	0	
K12145	0	
K12146	0	
K13942	24	[Fe]=24
K14068	12	[NiFe]_Group_1k=12
K14069	0	
K14070	0	
K14086	0	
K14087	0	
K14088	0	
K14089	0	
K14090	170	[NiFe]_Group_4c=27|[NiFe]_Group_4e=130|[NiFe]_Group_4g=13
K14091	0	
K14092	0	
K14093	0	
K14094	0	
K14095	0	
K14096	0	
K14097	0	
K14098	0	
K14099	0	
K14100	0	
K14101	0	
K14102	0	
K14103	0	
K14104	0	
K14105	0	
K14106	30	[NiFe]_Group_4h=30
K14107	0	
K14108	0	
K14109	0	
K14110	0	
K14111	0	
K14112	0	
K14113	0	
K14114	0	
K14115	0	
K14116	0	
K14117	0	
K14118	0	
K14119	0	
K14120	0	
K14121	0	
K14122	0	
K14123	23	[NiFe]_Group_4i=23
K14124	0	
K14125	0	
K14126	105	[NiFe]_Group_3c=101|[NiFe]_Group_3d=4
K14127	0	
K14128	0	
K15827	0	
K15828	0	
K15829	0	
K15830	47	[NiFe]_Group_4a=47
K15831	0	
K15832	0	
K15833	0	
K15834	0	
K15836	0	
K17992	0	
K17993	28	[NiFe]_Group_3b=28
K17994	0	
K17995	0	
K17996	0	
K17997	0	
K17998	0	
K17999	0	
K18005	0	
K18006	0	
K18007	0	
K18008	0	
K18016	39	[NiFe]_Group_4d=33|[NiFe]_Group_4g=6
K18017	0	
K18023	0	
K18330	0	
K18331	0	
K18332	0	
K19640	0	
K22015	0	
K23548	0	
K23549	184	[NiFe]_Group_2a=74|[NiFe]_Group_2b=87|[NiFe]_Group_2c=20|[NiFe]_Group_2e=3
K25123	0	
